emotion,Prompt,EA-bart-base,EA-t5-base
fear,generate fear Attention Responsibility NoCONT NoCIRC NoPLEA Effort Certainty: When I saw,When I saw a spider in my house at night.,When I saw a robbery incident in my local area
fear,generate fear Attention Responsibility NoCONT NoCIRC NoPLEA Effort Certainty: When I saw,When I saw another car come towards mine on a major highway,When I saw a homeless person who was unwell and needed immediate medical attention
fear,generate fear Attention Responsibility Control NoCIRC NoPLEA Effort Certainty: When I saw,When I saw a big spider on my wall,When I saw a dead bird
fear,generate fear Attention Responsibility Control NoCIRC NoPLEA Effort Certainty: When I saw,When I saw a big snake,When I saw a robbery incident in my local area
fear,generate fear Attention Responsibility Control NoCIRC NoPLEA Effort Certainty: When I saw,When I saw a spider in my house at night.,When I saw my partner for the first time in over a year due to covid
fear,generate fear Attention Responsibility Control NoCIRC NoPLEA Effort Certainty: When I saw,When I saw my partner for the first time on a flight,When I saw a dead dog.
fear,generate fear Attention Responsibility Control NoCIRC NoPLEA Effort Certainty: When I saw,When I saw someone who was pregnant as a single parent.,When I saw a homeless person who was unwell and needed immediate medical attention
fear,generate fear Attention NoRESP Control NoCIRC NoPLEA Effort NoCERT: When I saw,When I saw a big spider on my wall,When I saw a dead dog in the street
fear,generate fear Attention NoRESP Control NoCIRC NoPLEA Effort NoCERT: When I saw,When I saw a big snake,When I saw a dead dog
fear,generate fear Attention NoRESP Control NoCIRC NoPLEA Effort NoCERT: When I saw,When I saw a spider in my house at one time.,When I saw a dead bird
fear,generate fear Attention NoRESP Control NoCIRC NoPLEA Effort NoCERT: When I saw,When I saw another car come towards mine on a major highway,When I saw a dead cat in the road
fear,generate fear Attention NoRESP Control NoCIRC NoPLEA Effort NoCERT: When I saw,When I saw another car on the road coming towards mine,When I saw a dead cat in the street
fear,generate fear Attention NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: When I saw,When I saw a big spider on my wall,When I saw a dead bird
fear,generate fear Attention NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: When I saw,When I saw a big snake,When I saw a dead dog
fear,generate fear Attention NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: When I saw,When I saw a spider in my bedroom,When I saw a robbery incident in my local area
fear,generate fear Attention NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: When I saw,When I saw a spider in my house,When I saw a dead squirrel
fear,generate fear Attention NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: When I saw,When I saw a big spider in my bedroom,When I saw a dead cat in the road
guilt,generate guilt Attention Responsibility Control NoCIRC NoPLEA Effort Certainty: When I saw,When I saw someone I care about regarding important applications,When I saw my girlfriends boyfriend cheat on me
guilt,generate guilt Attention Responsibility Control NoCIRC NoPLEA Effort Certainty: When I saw,When I saw my ex girlfriend kiss another man,When I saw my partner cheat
guilt,generate guilt Attention Responsibility Control NoCIRC NoPLEA Effort Certainty: When I saw,When I saw someone being rude to me,When I saw a friend who was struggling with addiction because I knew I had to deal with the person and
guilt,generate guilt Attention Responsibility Control NoCIRC NoPLEA Effort Certainty: When I saw,When I saw someone who I care about regarding important applications,When I saw my girlfriends boyfriend get cheated on
guilt,generate guilt Attention Responsibility Control NoCIRC NoPLEA Effort Certainty: When I saw,When I saw someone I was close to on my birthday.,When I saw a friend who was struggling with addiction because I didn’t want to hurt them.
guilt,generate guilt Attention Responsibility Control NoCIRC NoPLEA Effort NoCERT: When I saw,When I saw my ex girlfriend kiss another man,When I saw my girlfriends boyfriend cheat on me
guilt,generate guilt Attention Responsibility Control NoCIRC NoPLEA Effort NoCERT: When I saw,When I saw someone I care about regarding important applications,When I saw my partner cheat
guilt,generate guilt Attention Responsibility Control NoCIRC NoPLEA Effort NoCERT: When I saw,When I saw someone being rude to me,When I saw my son in the hospital after he was admitted because I didn't know what was wrong
guilt,generate guilt Attention Responsibility Control NoCIRC NoPLEA Effort NoCERT: When I saw,When I saw someone who I had been talking to for a while.,When I saw a friend who was struggling with addiction because I knew I had to deal with the person and
guilt,generate guilt Attention Responsibility Control NoCIRC NoPLEA Effort NoCERT: When I saw,When I saw someone I was close to on my birthday.,When I saw my girlfriends boyfriend sneeze out of the window and into the living room
guilt,generate guilt NoATTE Responsibility Control NoCIRC NoPLEA NoEFFO NoCERT: When I saw,When I saw my ex girlfriend kiss another man,When I saw my dog die
guilt,generate guilt NoATTE Responsibility Control NoCIRC NoPLEA NoEFFO NoCERT: When I saw,When I saw my friend crying because I couldn’t save her,When I saw my child snatch away their dog from me because I didn’t want them to
guilt,generate guilt NoATTE Responsibility Control NoCIRC NoPLEA NoEFFO NoCERT: When I saw,When I saw my friend breaking up with me because I felt I neglected her,When I saw a homeless person who needed medical attention because I couldn't afford it
guilt,generate guilt NoATTE Responsibility Control NoCIRC NoPLEA NoEFFO NoCERT: When I saw,When I saw my partner kiss another man,When I saw my girlfriends boyfriend walk away from school after he had already started a fight with her
guilt,generate guilt NoATTE Responsibility Control NoCIRC NoPLEA NoEFFO NoCERT: When I saw,When I saw my partner crying because I couldn’t save him,When I saw a homeless person who was unwell and didn't want to go to the hospital because
guilt,generate guilt NoATTE Responsibility Control NoCIRC NoPLEA NoEFFO Certainty: When I saw,When I saw my ex girlfriend kiss another man,When I saw my dog die
guilt,generate guilt NoATTE Responsibility Control NoCIRC NoPLEA NoEFFO Certainty: When I saw,When I saw my daughter crying whilst I was trying to checkout my shopping,When I saw my girlfriends boyfriend walk away from school after he had already started a fight with her
guilt,generate guilt NoATTE Responsibility Control NoCIRC NoPLEA NoEFFO Certainty: When I saw,When I saw my friend crying because I couldn’t save her,When I saw my girlfriends boyfriend walk away from school after he had already started working for her
guilt,generate guilt NoATTE Responsibility Control NoCIRC NoPLEA NoEFFO Certainty: When I saw,When I saw someone being rude to me,When I saw my girlfriends boyfriend walk away from school after he had already had a bad relationship
guilt,generate guilt NoATTE Responsibility Control NoCIRC NoPLEA NoEFFO Certainty: When I saw,When I saw my partner for lunch earlier.,When I saw my girlfriends boyfriend walk away from school after being unwell for a number of months
guilt,generate guilt NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I saw,When I saw my ex girlfriend kiss another man,When I saw my dog die
guilt,generate guilt NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I saw,When I saw my partner kiss another man,When I saw a homeless person who needed medical attention because I couldn't afford it
guilt,generate guilt NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I saw,When I saw someone who used to be a very good friend who completely ignored me,"When I saw a homeless person who was unwell and didn't want to go to the hospital,"
guilt,generate guilt NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I saw,When I saw my partner cheating on me via a chance social media scrolling session.,When I saw my child snatch away their dog from me because I didn’t want them to
guilt,generate guilt NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I saw,When I saw someone being rude to a homeless person,When I saw a homeless person who was unwell and didn't want to go to the hospital because
guilt,generate guilt Attention Responsibility Control NoCIRC NoPLEA NoEFFO Certainty: When I saw,When I saw someone being rude to me,When I saw my girlfriends boyfriend get cheated on
guilt,generate guilt Attention Responsibility Control NoCIRC NoPLEA NoEFFO Certainty: When I saw,When I saw my ex girlfriend kiss another man,When I saw my girlfriends boyfriend walk away from school late at night.
guilt,generate guilt Attention Responsibility Control NoCIRC NoPLEA NoEFFO Certainty: When I saw,When I saw my partner cheating on me with a promise to other woman,When I saw my girlfriends boyfriend sneeze out of the toilet after he had been drinking
guilt,generate guilt Attention Responsibility Control NoCIRC NoPLEA NoEFFO Certainty: When I saw,When I saw my partner cheating on me with a promise to me,When I saw my girlfriends boyfriend sneeze at me
guilt,generate guilt Attention Responsibility Control NoCIRC NoPLEA NoEFFO Certainty: When I saw,When I saw my daughter crying whilst I was trying to checkout my shopping,When I saw my girlfriends boyfriend walk away from school with her young child
guilt,generate guilt Attention Responsibility NoCONT NoCIRC NoPLEA Effort Certainty: When I saw,When I saw my ex girlfriend kiss another man,When I saw my girlfriends boyfriend cheat on me
guilt,generate guilt Attention Responsibility NoCONT NoCIRC NoPLEA Effort Certainty: When I saw,When I saw someone being rude to me,When I saw my partner cheat
guilt,generate guilt Attention Responsibility NoCONT NoCIRC NoPLEA Effort Certainty: When I saw,When I saw someone being kicked when down,When I saw a friend who was struggling with addiction because I knew I had to deal with the person and
guilt,generate guilt Attention Responsibility NoCONT NoCIRC NoPLEA Effort Certainty: When I saw,When I saw someone I care about regarding important applications,When I saw my girlfriends boyfriend get cheated on
guilt,generate guilt Attention Responsibility NoCONT NoCIRC NoPLEA Effort Certainty: When I saw,When I saw someone who I care about regarding important applications,When I saw a friend who was struggling with addiction because I didn’t want to hurt them.
guilt,generate guilt Attention Responsibility NoCONT NoCIRC NoPLEA Effort NoCERT: When I saw,When I saw my ex girlfriend kiss another man,When I saw my girlfriends boyfriend cheat on me
guilt,generate guilt Attention Responsibility NoCONT NoCIRC NoPLEA Effort NoCERT: When I saw,When I saw someone I care about regarding important applications,When I saw my partner cheat
guilt,generate guilt Attention Responsibility NoCONT NoCIRC NoPLEA Effort NoCERT: When I saw,When I saw someone who I had been talking to for a while.,When I saw my son in the hospital after he was admitted because I didn't know what was wrong
guilt,generate guilt Attention Responsibility NoCONT NoCIRC NoPLEA Effort NoCERT: When I saw,When I saw someone being kicked when down,When I saw a friend who was struggling with addiction because I knew I had to deal with the person and
guilt,generate guilt Attention Responsibility NoCONT NoCIRC NoPLEA Effort NoCERT: When I saw,When I saw someone being rude to me,When I saw my sister in law break up with her boyfriend
guilt,generate guilt Attention NoRESP Control NoCIRC NoPLEA Effort Certainty: When I saw,When I saw my ex girlfriend kiss another man,When I saw my partner cheat
guilt,generate guilt Attention NoRESP Control NoCIRC NoPLEA Effort Certainty: When I saw,When I saw someone being kicked when down,When I saw my girlfriends boyfriend cheat on me
guilt,generate guilt Attention NoRESP Control NoCIRC NoPLEA Effort Certainty: When I saw,When I saw someone I care about regarding important applications,When I saw a friend who was struggling with addiction because I knew I had to deal with the person and
guilt,generate guilt Attention NoRESP Control NoCIRC NoPLEA Effort Certainty: When I saw,When I saw someone being rude to me,When I saw a friend who was struggling with addiction because I didn’t want to hurt them.
guilt,generate guilt Attention NoRESP Control NoCIRC NoPLEA Effort Certainty: When I saw,When I saw my partner breaking up with me.,When I saw my partner scolded for something I did not do
guilt,generate guilt Attention Responsibility Control NoCIRC NoPLEA NoEFFO NoCERT: When I saw,When I saw my ex girlfriend kiss another man,When I saw my child snatch away their dog from me because I didn’t want them to
guilt,generate guilt Attention Responsibility Control NoCIRC NoPLEA NoEFFO NoCERT: When I saw,When I saw someone being rude to me,When I saw my son snatch away his toys from him because I didn't want him to
guilt,generate guilt Attention Responsibility Control NoCIRC NoPLEA NoEFFO NoCERT: When I saw,When I saw someone who I had been talking to for a while.,When I saw my son snatch away his toys from him because I didn’t want him to
guilt,generate guilt Attention Responsibility Control NoCIRC NoPLEA NoEFFO NoCERT: When I saw,When I saw my partner cheating on me with a promise to other woman,"When I saw a homeless person who was unwell and didn't want to go to the hospital,"
guilt,generate guilt Attention Responsibility Control NoCIRC NoPLEA NoEFFO NoCERT: When I saw,When I saw my partner cheating on me with a promise to me,"When I saw a homeless person who was unwell and needed immediate medical attention, I called my doctor and"
joy,generate joy Attention Responsibility Control NoCIRC Pleasantness Effort Certainty: When I saw,When I saw my granddaughter for the 1st time even if I couldn't hold her,When I saw my son after a long time apart due to COVID-19
joy,generate joy Attention Responsibility Control NoCIRC Pleasantness Effort Certainty: When I saw,When I saw my best friend after her being away for a long time,When I saw my son at his graduation.
joy,generate joy Attention Responsibility Control NoCIRC Pleasantness Effort Certainty: When I saw,When I saw my partner for the first time,When I saw my daughter after a long time apart due to covid
joy,generate joy Attention Responsibility Control NoCIRC Pleasantness Effort Certainty: When I saw,When I saw my partner for the first ime because we were doing long distance,When I saw my best friend after a long time apart due to covid
joy,generate joy Attention Responsibility Control NoCIRC Pleasantness Effort Certainty: When I saw,When I saw my daughter for the 1st time even if I couldn't hold her,When I saw my son after he had been unwell for a year
joy,generate joy Attention Responsibility Control NoCIRC Pleasantness NoEFFO Certainty: When I saw,When I saw my best friend after her being away for a long time,When I saw my son at his graduation.
joy,generate joy Attention Responsibility Control NoCIRC Pleasantness NoEFFO Certainty: When I saw,When I saw my partner for the first time,"When I saw my dog finally walking down the street with her dog, because it was a new experience for"
joy,generate joy Attention Responsibility Control NoCIRC Pleasantness NoEFFO Certainty: When I saw,When I saw my best friend after a long time apart,"When I saw my son at his favourite club, I was so... and it was the first time I"
joy,generate joy Attention Responsibility Control NoCIRC Pleasantness NoEFFO Certainty: When I saw,When I saw my favourite cyclist won his race today,When I saw my dog finally walking home after a long time apart because I love dogs
joy,generate joy Attention Responsibility Control NoCIRC Pleasantness NoEFFO Certainty: When I saw,When I saw my partner for the very first time,"When I saw my dog finally walking down the street with her dog, because I had been wanting to get her"
joy,generate joy NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: When I saw,When I saw my granddaughter for the 1st time even if I couldn't hold her,"When I saw my son at his favourite park, it was a magical day filled with life."
joy,generate joy NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: When I saw,When I saw my favourite cyclist won his race today,When I saw my son at the park because it was a new experience for him
joy,generate joy NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: When I saw,When I saw my dog's face in the window waiting for me to enter the house.,When I saw my son at his birthday party
joy,generate joy NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: When I saw,When I saw my best friend after her being away for a long time,"When I saw my dog finally walking down the street with her dog, because it was a new experience for"
joy,generate joy NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: When I saw,When I saw my partner for the first ime because we were doing long distance,"When I saw my son at his favourite park, it was so... because I had been waiting so long"
joy,generate joy NoATTE Responsibility Control NoCIRC Pleasantness NoEFFO Certainty: When I saw,When I saw my best friend after her being away for a long time,When I saw my dog finally walking home after a long time apart because I love dogs
joy,generate joy NoATTE Responsibility Control NoCIRC Pleasantness NoEFFO Certainty: When I saw,When I saw my favourite cyclist won his race today,"When I saw my son at his favourite park, it was a great way to end the day."
joy,generate joy NoATTE Responsibility Control NoCIRC Pleasantness NoEFFO Certainty: When I saw,When I saw my partner for the first ime because we were doing long distance,"When I saw my son at his favourite park, it was so... because I had been waiting so long"
joy,generate joy NoATTE Responsibility Control NoCIRC Pleasantness NoEFFO Certainty: When I saw,When I saw my partner for the first time,"When I saw my son at his favourite park, it was a magical day filled with life."
joy,generate joy NoATTE Responsibility Control NoCIRC Pleasantness NoEFFO Certainty: When I saw,When I saw my best friend after a long time apart,"When I saw my dog finally walking down the street with her dog, because it was a new experience for"
joy,generate joy Attention NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: When I saw,When I saw my granddaughter for the 1st time even if I couldn't hold her,"When I saw my son at his favourite park, it was a magical day filled with life."
joy,generate joy Attention NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: When I saw,When I saw my best friend after her being away for a long time,"When I saw my dog finally walking down the street with her dog, because it was a new experience for"
joy,generate joy Attention NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: When I saw,When I saw my partner for the first ime because we were doing long distance,When I saw my son at his birthday party
joy,generate joy Attention NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: When I saw,When I saw my best friend after a long time apart due to COVID-19,"When I saw my son at his favourite club, I was so... and it was the first time "
joy,generate joy Attention NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: When I saw,When I saw my favourite cyclist won his race today,"When I saw my son at his favourite club, we went to go to a different one and then they"
joy,generate joy Attention Responsibility Control NoCIRC Pleasantness NoEFFO NoCERT: When I saw,When I saw my best friend after her being away for a long time,When I saw my son at his graduation.
joy,generate joy Attention Responsibility Control NoCIRC Pleasantness NoEFFO NoCERT: When I saw,When I saw my partner for the first time,"When I saw my son at his favourite club, I was so... and it was the first time I"
joy,generate joy Attention Responsibility Control NoCIRC Pleasantness NoEFFO NoCERT: When I saw,When I saw my favourite cyclist won his race today,When I saw my son at his birthday party
joy,generate joy Attention Responsibility Control NoCIRC Pleasantness NoEFFO NoCERT: When I saw,When I saw my best friend after a long time apart,When I saw my son at the park with his dad and dad enjoying playing with the dogs and having fun
joy,generate joy Attention Responsibility Control NoCIRC Pleasantness NoEFFO NoCERT: When I saw,When I saw my partner for the very first time,"When I saw my dog finally walking down the street with her dog, because it was a new experience for"
joy,generate joy Attention Responsibility Control NoCIRC Pleasantness Effort NoCERT: When I saw,When I saw my partner for the first time,When I saw my son at his graduation.
joy,generate joy Attention Responsibility Control NoCIRC Pleasantness Effort NoCERT: When I saw,When I saw my partner for the first ime because we were doing long distance,When I saw my son after a long time apart due to COVID-19
joy,generate joy Attention Responsibility Control NoCIRC Pleasantness Effort NoCERT: When I saw,When I saw my best friend after her being away for a long time,When I saw my best friend after a long time apart due to covid
joy,generate joy Attention Responsibility Control NoCIRC Pleasantness Effort NoCERT: When I saw,When I saw my partner for the very first time,When I saw my son at the park with his dad and dad enjoying playing with the dogs and having fun
joy,generate joy Attention Responsibility Control NoCIRC Pleasantness Effort NoCERT: When I saw,When I saw my partner after nearly 3 years of a long distance relationship.,When I saw my son after a long time apart because I didn't know what was wrong with him
joy,generate joy NoATTE Responsibility Control NoCIRC Pleasantness NoEFFO NoCERT: When I saw,When I saw my best friend after her being away for a long time,"When I saw my son at his favourite park, it was so... because I had been waiting so long"
joy,generate joy NoATTE Responsibility Control NoCIRC Pleasantness NoEFFO NoCERT: When I saw,When I saw my favourite cyclist won his race today,When I saw my son at his birthday party
joy,generate joy NoATTE Responsibility Control NoCIRC Pleasantness NoEFFO NoCERT: When I saw,When I saw my partner for the first ime because we were doing long distance,"When I saw my son at his favourite park, it was a magical day filled with life."
joy,generate joy NoATTE Responsibility Control NoCIRC Pleasantness NoEFFO NoCERT: When I saw,When I saw my best friend after a long time apart,"When I saw my son at his favourite park, it was so... because I had been waiting for him"
joy,generate joy NoATTE Responsibility Control NoCIRC Pleasantness NoEFFO NoCERT: When I saw,When I saw my niece and nephews outside.,When I saw my son at the park with his dad and dad enjoying playing with the dogs
joy,generate joy Attention Responsibility NoCONT NoCIRC Pleasantness Effort Certainty: When I saw,When I saw my granddaughter for the 1st time even if I couldn't hold her,When I saw my son after a long time apart due to COVID-19
joy,generate joy Attention Responsibility NoCONT NoCIRC Pleasantness Effort Certainty: When I saw,When I saw my best friend after her being away for a long time,When I saw my best friend after a long time apart due to covid
joy,generate joy Attention Responsibility NoCONT NoCIRC Pleasantness Effort Certainty: When I saw,When I saw my partner for the first ime because we were doing long distance,When I saw my son at his graduation.
joy,generate joy Attention Responsibility NoCONT NoCIRC Pleasantness Effort Certainty: When I saw,When I saw my partner for the first time,When I saw my daughter after a long time apart due to covid
joy,generate joy Attention Responsibility NoCONT NoCIRC Pleasantness Effort Certainty: When I saw,When I saw my best friend after a long time apart due to COVID-19,When I saw my son after a long time apart because I couldn't wait to see him again
joy,generate joy Attention Responsibility NoCONT NoCIRC Pleasantness NoEFFO NoCERT: When I saw,When I saw my best friend after her being away for a long time,When I saw my son at his graduation.
joy,generate joy Attention Responsibility NoCONT NoCIRC Pleasantness NoEFFO NoCERT: When I saw,When I saw my partner for the first ime because we were doing long distance,"When I saw my son at his favourite club, I was so... and it was the first time I"
joy,generate joy Attention Responsibility NoCONT NoCIRC Pleasantness NoEFFO NoCERT: When I saw,When I saw my favourite cyclist won his race today,When I saw my son at the park with his dad and dad enjoying a game of tag and having fun
joy,generate joy Attention Responsibility NoCONT NoCIRC Pleasantness NoEFFO NoCERT: When I saw,When I saw my partner for the first time,"When I saw my son at his favourite club, we went to go to a different one and we "
joy,generate joy Attention Responsibility NoCONT NoCIRC Pleasantness NoEFFO NoCERT: When I saw,When I saw my best friend after a long time apart,"When I saw my son at his favourite club, we went to go to a different one and then they"
sadness,generate sadness Attention NoRESP NoCONT Circumstance NoPLEA Effort NoCERT: When I saw,When I saw my grandad who passed away,When I saw my grandma die
sadness,generate sadness Attention NoRESP NoCONT Circumstance NoPLEA Effort NoCERT: When I saw,When I saw my dog die,When I saw my grandad die
sadness,generate sadness Attention NoRESP NoCONT Circumstance NoPLEA Effort NoCERT: When I saw,When I saw my elderly father who had lung cancer.,When I saw my partner for the first time
sadness,generate sadness Attention NoRESP NoCONT Circumstance NoPLEA Effort NoCERT: When I saw,When I saw my grandma who was 100 years of age passed away.,When I saw my sister who was suffering from depression because she was the closest person to me in my life.
sadness,generate sadness Attention NoRESP NoCONT Circumstance NoPLEA Effort NoCERT: When I saw,When I saw my partner for almost a year due to covid,When I saw my dad for the first time
sadness,generate sadness Attention NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: When I saw,When I saw my dog die,When I saw my grandma die
sadness,generate sadness Attention NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: When I saw,When I saw my ex boyfriend,When I saw my partner for the first time
sadness,generate sadness Attention NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: When I saw,When I saw my grandad who passed away,When I saw my grandad die
sadness,generate sadness Attention NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: When I saw,When I saw my grandma past away.,When I saw my partner for the first time in over a year due to covid
sadness,generate sadness Attention NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: When I saw,When I saw my grandma who was 100 years of age passed away.,When I saw a friend who was struggling with addiction because I knew I would never see them again and I
sadness,generate sadness Attention NoRESP NoCONT Circumstance NoPLEA Effort Certainty: When I saw,When I saw my dog die,When I saw my grandma die
sadness,generate sadness Attention NoRESP NoCONT Circumstance NoPLEA Effort Certainty: When I saw,When I saw my grandad who passed away,When I saw my grandad die
sadness,generate sadness Attention NoRESP NoCONT Circumstance NoPLEA Effort Certainty: When I saw,When I saw my grandma who was 100 years of age passed away.,When I saw my partner for the first time
sadness,generate sadness Attention NoRESP NoCONT Circumstance NoPLEA Effort Certainty: When I saw,When I saw the body of a dead decaying animal in the woods,When I saw my partner who was suffering from alcoholism
sadness,generate sadness Attention NoRESP NoCONT Circumstance NoPLEA Effort Certainty: When I saw,When I saw my grandpa who was 100 years of age passed away.,When I saw my partner for the first time in over a year due to covid
sadness,generate sadness Attention NoRESP NoCONT NoCIRC NoPLEA Effort Certainty: When I saw,When I saw my ex boyfriend,When I saw my partner for the first time
sadness,generate sadness Attention NoRESP NoCONT NoCIRC NoPLEA Effort Certainty: When I saw,When I saw my ex girlfriend,When I saw my grandma die
sadness,generate sadness Attention NoRESP NoCONT NoCIRC NoPLEA Effort Certainty: When I saw,When I saw my partner for the first time,When I saw my partner who was suffering from alcoholism
sadness,generate sadness Attention NoRESP NoCONT NoCIRC NoPLEA Effort Certainty: When I saw,When I saw my partner for almost a year due to covid,When I saw my grandad die
sadness,generate sadness Attention NoRESP NoCONT NoCIRC NoPLEA Effort Certainty: When I saw,When I saw my grandad who passed away,When I saw my partner for the first time in over a year due to covid
sadness,generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: When I saw,When I saw my ex boyfriend,When I saw my grandma die
sadness,generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: When I saw,When I saw my grandma who is currently at home while I am at school because I miss her,When I saw my partner for the first time
sadness,generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: When I saw,When I saw the person who ran me over off road driving and hasnt faced any punishment/still,When I saw my grandad die
sadness,generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: When I saw,When I saw a family member who makes unwanted and insulting comments constantly. Since I knew I was going,When I saw my partner for the first time in over a year due to covid
sadness,generate sadness NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: When I saw,When I saw my partner of 11 years as I was suffering mental abuse I just felt relieved and...,When I saw a friend who was struggling with addiction because I didn't know what was wrong with them
sadness,generate sadness NoATTE NoRESP NoCONT Circumstance NoPLEA Effort NoCERT: When I saw,When I saw my grandad who passed away,When I saw my grandma die
sadness,generate sadness NoATTE NoRESP NoCONT Circumstance NoPLEA Effort NoCERT: When I saw,When I saw my elderly father who had lung cancer.,When I saw my grandad die
sadness,generate sadness NoATTE NoRESP NoCONT Circumstance NoPLEA Effort NoCERT: When I saw,When I saw my partner for almost a year due to covid,When I saw my partner for the first time
sadness,generate sadness NoATTE NoRESP NoCONT Circumstance NoPLEA Effort NoCERT: When I saw,When I saw my old best friend who no longer with me,When I saw my partner who was suffering from alcoholism
sadness,generate sadness NoATTE NoRESP NoCONT Circumstance NoPLEA Effort NoCERT: When I saw,When I saw my old best friend who is no longer with me,"When I saw my partner who was suffering with depression and was taking medication to help him, I had been trying"
sadness,generate sadness NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: When I saw,When I saw my grandad who passed away,When I saw my grandad die
sadness,generate sadness NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: When I saw,When I saw my aunt who makes unwanted and insulting comments constantly.,When I saw my grandma die
sadness,generate sadness NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: When I saw,When I saw my elderly father who had lung cancer.,When I saw my dog die
sadness,generate sadness NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: When I saw,When I saw my grandad who passes away,"When I saw my partner who was suffering with depression and was taking medication to help him, I had been trying"
sadness,generate sadness NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: When I saw,When I saw my neighbour who makes unwanted and insulting comments constantly.,When I saw my partner who was suffering from alcoholism
sadness,generate sadness NoATTE NoRESP NoCONT Circumstance NoPLEA Effort Certainty: When I saw,When I saw my dog die,When I saw my grandad die
sadness,generate sadness NoATTE NoRESP NoCONT Circumstance NoPLEA Effort Certainty: When I saw,When I saw my grandma who is currently at home while I am at school because I miss her,When I saw my grandma die
sadness,generate sadness NoATTE NoRESP NoCONT Circumstance NoPLEA Effort Certainty: When I saw,When I saw my cat's face in the window waiting for me to enter the house.,When I saw my partner who was suffering from alcoholism
sadness,generate sadness NoATTE NoRESP NoCONT Circumstance NoPLEA Effort Certainty: When I saw,When I saw my aunt who is currently at home while I am at school because I miss her,When I saw my partner for the first time
sadness,generate sadness NoATTE NoRESP NoCONT Circumstance NoPLEA Effort Certainty: When I saw,When I saw my grandad who passed away,When I saw my partner for the first time in over a year due to covid
sadness,generate sadness Attention Responsibility NoCONT NoCIRC NoPLEA Effort Certainty: When I saw,When I saw my ex boyfriend,When I saw my partner for the first time
sadness,generate sadness Attention Responsibility NoCONT NoCIRC NoPLEA Effort Certainty: When I saw,When I saw my ex girlfriend,When I saw my best friend die
sadness,generate sadness Attention Responsibility NoCONT NoCIRC NoPLEA Effort Certainty: When I saw,When I saw my partner for almost a year due to covid,When I saw my partner who was struggling with addiction because I knew I wouldn't see him for months.
sadness,generate sadness Attention Responsibility NoCONT NoCIRC NoPLEA Effort Certainty: When I saw,When I saw my partner for the first time,When I saw my grandma die
sadness,generate sadness Attention Responsibility NoCONT NoCIRC NoPLEA Effort Certainty: When I saw,When I saw my partner for the very first time,When I saw my partner who was suffering from alcoholism
sadness,generate sadness Attention Responsibility Control NoCIRC NoPLEA Effort Certainty: When I saw,When I saw my ex boyfriend,When I saw my best friend die
sadness,generate sadness Attention Responsibility Control NoCIRC NoPLEA Effort Certainty: When I saw,When I saw my ex girlfriend,When I saw my partner for the first time
sadness,generate sadness Attention Responsibility Control NoCIRC NoPLEA Effort Certainty: When I saw,When I saw my partner for the first time,When I saw my grandma die
sadness,generate sadness Attention Responsibility Control NoCIRC NoPLEA Effort Certainty: When I saw,When I saw my partner for the very first time,When I saw my partner who was struggling with addiction because I knew I wouldn't see him for months.
