Prompt,EA-bart-base,EA-t5-base,A-bart-base,A-t5-base
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I felt,I felt ... when I handed my car of 17 years over to a scrap dealer! My car,I felt ... when I went to the gym and got a new pair of shoes. I had,I felt that my hard work has not been recognised or paid off,I felt ... when I was asked to do something I knew no one would do and I felt 
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I felt,I felt a lot of... when I handed my car of 17 years over to a scrap dealer,I felt ... when I went to the gym and got a new pair of shoes.,I felt as if I would never get a job ,I felt ... when I was asked to give a presentation
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I felt,I felt somewhat due to being mistreated in the workplace,I felt ... when I went to the gym and got a new pair of shoes. I was,I felt when my husband had to take time out for stress becasue her manager wasnt,I felt ... when I was questioned 
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I felt,I felt very... when I handed my car of 17 years over to a scrap dealer! My,I felt ... when I was asked to do a re-examination of my thesis,I felt ... when I received a message to let me know that one of my very good friends,I felt ... when I was questioned 
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I felt,I felt a lot of... when I received a message to let me know that one of my,I felt ... when I was given a job offer because I didn't have the money for,I felt when my mother had her last birthday,I felt ... when I was told I couldn't take a test 
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: I felt,I felt ... when I handed my car of 17 years over to a scrap dealer! My car,I felt ... when I walked home from work,I felt unappreciated ,I felt ... when I saw a young child being bullied in the street
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: I felt,I felt a bit of... when I handed my car of 17 years over to a scrap dealer,I felt ... when I walked out the door to the store and saw a homeless person being,I felt as if I would never get a job ,I felt ... when I saw a man abusing his wife
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: I felt,I felt somewhat due to being mistreated in the workplace,I felt ... when I was sitting at the airport waiting for people to start lining up to board,I felt that my hard work has not been recognised or paid off,I felt ... when I saw a young child who was being bullied in the street
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: I felt,I felt a little... when I handed my car of 17 years over to a scrap dealer!,I felt ... when I went to work and I saw a homeless person who needed immediate medical attention,I felt like someone was watching me when i was walking home,I felt ... when I saw a man beating his wife in the street
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: I felt,I felt very... when I handed my car of 17 years over to a scrap dealer! My,I felt ... when I walked out the door to the store.,I felt when my partner had to go back to work knowing I wouldn't see him for months,I felt ... when I saw a young child who had been bullied in the streets of spa
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a friend of mine no longer wanted to be friends,When a friend of mine was having a bad day,When a child threw a rubber snake at me at Halloween,When a friend of mine asked me out for a drink but I couldn't bring myself to drink
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a colleague at work was incredibly insulting about my personal background,When a friend of mine was having an argument with someone I had just met.,When a coworker belittles me,When a friend of mine asked me a question I
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a friend of mine told me his girlfriend abused him and cheated on him throughout his relationship.,When a friend of mine was having an argument with someone else,When a customer at work was being very impolite to me,When a friend of mine left me on my own at a nightclub
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a friend told me his girlfriend abused him and cheated on him throughout his relationship.,When a friend of mine contacted me about a job opportunity that I had been waiting for for ,When a man yelled at me,When a friend of mine asked me out on a date
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a friend was planning to snatch away my girl friend from,When a friend of mine came to visit me at work and asked me if I could help him or,When a colleague of mine expressed unpredictable,When a friend of mine asked me out for a drink
generate Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a friend of mine no longer wanted to be friends,When a friend of mine was having an argument with someone I had just met.,When a colleague of mine expressed unpredictable,When a friend of mine asked me a question I had been meaning to ask them in an interview and
generate Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a colleague at work was incredibly insulting about my personal background,When a friend of mine contacted me about a job opportunity that I had been waiting for for ,When a child threw a rubber snake at me at Halloween,When a friend of mine asked me out for a drink but I couldn't bring myself to drink
generate Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a friend told me his girlfriend abused him and cheated on him throughout his relationship.,When a friend was having an argument with someone I had just met.,When a coworker belittles me,When a friend of mine called me a racial slur on the bus
generate Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a friend was planning to snatch away my girl friend from,When a friend of mine contacted me about a potential relationship which we had been working on for months,When a man followed me in a car,When a friend of mine called me out in front of a group of friends
generate Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a friend of mine moved away because I am not close with them.,When a friend of mine contacted me about a job opportunity which I had been waiting for for ,When a member of the public verbally abuse a shop assistant,When a friend of mine asked me if I was working
generate NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a friend of mine no longer wanted to be friends,When a friend was having a bad day,When a child threw a rubber snake at me at Halloween,When a friend of mine left me on my own at a nightclub
generate NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a friend of mine told me his girlfriend abused him and cheated on him throughout his relationship.,When a friend of mine was having an argument with someone I had just met.,When a colleague of mine expressed unpredictable,When a friend of mine asked me if I was working
generate NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a friend told me his girlfriend abused him and cheated on him throughout his relationship.,When a friend of mine contacted me about a job opportunity that I had been waiting for for ,When a coworker belittles me,When a friend of mine asked me a question that I didn't answer and I was
generate NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a colleague at work was incredibly insulting about my personal background,When a friend of mine was having a bad day,When a man followed me in a car,When a friend of mine asked me a question
generate NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When a,When a friend was planning to snatch away my girl friend from,When a friend was having an argument with someone I had just met.,When a colleague belittles me,When a friend of mine asked me a question that I had never asked before
generate NoATTE NoRESP Control NoCIRC NoPLEA NoEFFO NoCERT: When a,When a friend of mine told me his girlfriend abused him and cheated on him throughout his relationship.,"When a man walked into my house and started yelping at me, then he",When a coworker belittles me,When a friend of mine asked me to ask them in an interview and
generate NoATTE NoRESP Control NoCIRC NoPLEA NoEFFO NoCERT: When a,When a friend of mine no longer wanted to be friends,When a friend of mine was having an argument with someone I had just met.,When a colleague of mine expressed unpredictable,When a friend of mine asked me a question I had been meaning to ask them
generate NoATTE NoRESP Control NoCIRC NoPLEA NoEFFO NoCERT: When a,When a friend told me his girlfriend abused him and cheated on him throughout his relationship.,When a man walked into me on a whim because I knew I was going to get,When a child threw a rubber snake at me at Halloween,When a friend of mine asked me a question that
generate NoATTE NoRESP Control NoCIRC NoPLEA NoEFFO NoCERT: When a,When a colleague at work was incredibly insulting about my personal background,"When a man walked into my house and started yelping at me, I was so",When a man followed me in a car,When a friend of mine asked 
generate NoATTE NoRESP Control NoCIRC NoPLEA NoEFFO NoCERT: When a,"When a friend of mine made a comment about her attempts at finding a guy on Tinder, and",When a colleague was being harassed by a colleague for no reason at all,When a guy yelled at me,When a friend of mine asked me a question
generate NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: When a,When a colleague at work was incredibly insulting about my personal background,When a friend was having a bad day,When a coworker belittles me,When a friend of mine was claiming benefits they weren't entitled to
generate NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: When a,When a potential drunk driver nearly crashed into us coming from the other direction,When a friend was having an argument with someone I had just met.,When a coworker at work was rude to colleagues,When a friend of mine left me on my own at a nightclub
generate NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: When a,When a man got sick on the pavement right in front of me,When a colleague was being harassed by a colleague for no reason last week.,When a coworker at work was treating someone poorly on the phone,When a friend of mine asked me out for a drink but I couldn't bring myself to drink
generate NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: When a,When a cyclist nearly crashed into us coming from the other direction,When a friend was threatening to kill me because I knew I wouldn't be able to help,When a coworker at work was rude to a customer,When a friend of mine asked me a question
generate NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: When a,When a child threw a rubber snake at me at Halloween,When a man walked into my house and hit me with a hammer.,When a child was killed in an accident,When a friend of mine had a heart attack
generate NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: When a,When a friend of mine no longer wanted to be friends,When a friend was having a bad day,When a coworker belittles me,When a friend of mine told me she was coming home 
generate NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: When a,When a colleague at work was incredibly insulting about my personal background,When a friend of mine was having an argument with someone I had just met.,When a child was born,When a friend of mine called me a friend
generate NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: When a,When a friend told me his girlfriend abused him and cheated on him throughout his relationship.,When a friend of mine was having a bad day,When a customer at work was very impolite to me,When a friend of mine asked me a question I had been meaning to ask them
generate NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: When a,When a friend of mine told me his girlfriend abused him and cheated on him throughout his relationship.,When a friend of mine told me a friend was coming to visit because I was away.,When a member of my own family was claiming benefits they weren't entitled to,When a friend of mine asked me a question that I had never asked before
generate NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: When a,When a child threw a rubber snake at me at Halloween,When a friend of mine told me a friend was coming to visit because I knew that person would be,When a colleague of mine expressed interest in someone else,When a friend asked me if I was feeling well after a long time apart
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: When a,When a colleague at work was incredibly insulting about my personal background,When a colleague was being harassed by a colleague because they didn't want to be treated,When a child threw a rubber snake at me at Halloween,When a friend of mine was claiming benefits they weren't entitled to
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: When a,When a friend of mine no longer wanted to be friends,When a friend of mine gave me a hard time because I didn't know what was wrong with,When a man yelled at me,When a friend of mine cheated on me
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: When a,When a friend told me his girlfriend abused him and cheated on him throughout his relationship.,When a colleague was being harassed by a customer for no reason at all,When a customer at work was being very impolite to me,When a friend of mine asked me a question that I didn't answer and I was
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: When a,When a child threw a rubber snake at me at Halloween,When a colleague was being harassed by a colleague for no reason at all,When a man followed me in a car,When a friend of mine asked me out for a job I had applied for recently
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: When a,When a friend was planning to snatch away my girl friend from,When a friend of mine was being harassed by a friend for no reason last week.,When a coworker belittles me,When a friend of mine asked me out for a job
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: When a,When a friend of mine no longer wanted to be friends,When a friend of mine asked me a question about my relationship status,When a member of the public verbally abuse a shop assistant,When a friend of mine asked me a question 
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: When a,When a friend of mine told me his girlfriend abused him and cheated on him throughout his relationship.,When a colleague asks me a question I have been asked before and I get asked if I,When a child threw a rubber snake at me at Halloween,When a friend of mine asked me if I was working 
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: When a,When a friend told me his girlfriend abused him and cheated on him throughout his relationship.,When a friend of mine was having a bad day,When a man followed me in a car,When a friend of mine asked me a question that I had never asked them before
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: When a,When a colleague at work was incredibly insulting about my personal background,When a friend of mine came to visit me at work and asked me if I could help him or,When a coworker belittles me,When a friend of mine was rude to me
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: When a,When a friend was planning to snatch away my girl friend from,When a friend of mine asked me a question about my finances.,When a friend of mine expressed unpredictable,When a friend of mine asked me a question I had been meaning to ask them
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I was,I was trying to get my broken TV fixed by the supplier,I was walking home from school this morning and I saw a dead bug that had been infeste,I was in a car accident,I was told I was being cheated on
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I was,I was on a camel ride whilst on holiday in Tenerife and the camel behind decided to,I was walking home from school this morning and I saw a dead squirrel in the road,I was in the hospital ,I was told I was being bullied at work 
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I was,"I was playing a game on my phone, as it was one of the things that I usually",I was walking home from school this morning and I heard a noise and felt...,I was in a car crash,I was lied to by a friend 
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I was,I was stuck away from home with no ride for over a week longer than planned.,I was walking home from school and a stranger approached me and asked me if I could help,I was in a panic attack for the first time,I was told I was being bullied at work 
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I was,I was told I wasn't getting refunded for a paid vacation.,I was walking home from school this morning and I saw a dead fox in the trees nearby,I was in a lesson where the teacher was bad,I was lied to by a friend 
generate Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I was,I was told I wasn't getting refunded for a paid vacation.,I was walking home from school and a stranger approached me and asked me if I could help,I was in a car accident,I was told I was being cheated on
generate Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I was,I was trying to get my broken TV fixed by the supplier,I was walking home from school this morning and I heard a noise and felt...,I was in a car accident,I was lied to by a friend 
generate Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I was,I was watching a very gruesome and unnecessarily violent/bloody scene on television,I was walking home from school and I saw a dead bug that had been infested with,I was in a car crash,I was lied to by a friend 
generate Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I was,I was told I needed an operation because I didn't have the money for it,I was walking home from school this morning and I heard a loud bang,I was in school and I witnessed someone sneeze snot onto their page,I was told I was being bullied at work 
generate Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I was,"I was playing Zelda: Breath of the Wild, and I beat the final boss.",I was walking home from school this morning and I saw a dead bug that had been infeste,I was lied to by a close friend,I was told I was being bullied at work 
generate NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I was,I was told I wasn't getting refunded for a paid vacation.,I was walking home from school this morning and I saw a dead bug that had been infeste,I was in a car crash,I was able to complete a task at work in record time with no issues
generate NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I was,I was trying to get my broken TV fixed by the supplier,I was walking home from school this morning and I saw a dead fox in the trees nearby,I was lied to by a close friend,I was told I was going to get a job
generate NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I was,I was stuck away from home with no ride for over a week longer than planned.,I was walking home from school this morning and I saw a dead squirrel in the road,I was in a car accident,I was able to get a job I really wanted but I couldn't afford it
generate NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I was,"I was playing Zelda: Breath of the Wild, and I beat the final boss.",I was walking home from school and a stranger approached me and asked me if I could help,I was cleaning my cat's litter box ,I was lied to by a friend 
generate NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I was,I was promoted last year. To a more senior position with more responsibility & salary.,I was walking home from school this morning and I heard a noise and felt...,I was on a rollercoaster ,I was lied to by a friend 
generate NoATTE NoRESP Control NoCIRC NoPLEA NoEFFO NoCERT: I was,I was told I wasn't getting refunded for a paid vacation.,I was walking home from school this morning and I saw a dead bug that had been infeste,I was at work and was confronted with a very aggressive ,I was lied to by a friend 
generate NoATTE NoRESP Control NoCIRC NoPLEA NoEFFO NoCERT: I was,I was trying to get my broken TV fixed by the supplier,I was walking home from school and a stranger approached me and asked me if I could help,I was walking home from school when I was 10 ,I was told I was going to get a job
generate NoATTE NoRESP Control NoCIRC NoPLEA NoEFFO NoCERT: I was,I was stuck away from home with no ride for over a week longer than planned.,I was walking home from school this morning and a stranger approached me and asked me if I could,I was cleaning my bathroom floor for the first time in a while ,I was lied to by a friend 
generate NoATTE NoRESP Control NoCIRC NoPLEA NoEFFO NoCERT: I was,"I was playing Zelda: Breath of the Wild, and I beat the final boss.",I was walking home from school this morning and I saw a dead squirrel in the road,I was walking home one night from school ,I was able to complete a task at work in record time with no issues
generate NoATTE NoRESP Control NoCIRC NoPLEA NoEFFO NoCERT: I was,I was promoted last year. To a more senior position with more responsibility & salary.,I was walking home from school this morning and I saw a dead fox in the trees nearby,I was in a car accident,I was told I was being cheated on
generate NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: I was,I was in a lesson where the teacher was bad,I was walking home from school today because I didn't know what was wrong with me.,I was in a panic attack for the first time,I was robbed at gunpoint by a random man
generate NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: I was,I was in the university during my educational days because I wasn't able to answer a specific question,I was walking home from school this morning because I didn't know what was wrong with me.,I was waiting for my turn at the airport to arrive,I was robbed and attacked in the streets of spain by a random man
generate NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: I was,I was in New York on 9/11,I was walking home from school this morning and I heard a loud bang,I was waiting for my plane to arrive,I was in a car accident
generate NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: I was,I was in Korea alone in a hotel room and I heard a key turn in the door.,I was walking home from school this morning and a stranger approached me and asked me if I could,I was in hospital for two weeks ,I was unable to get a job I applied for
generate NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: I was,I was very worried that I was going to get locked in to a building when away on holiday,I was walking home from school this morning and I saw a dead bug that had been infeste,I was waiting for my turn at the airport to start my plane return,I was told I was a racial homophobe
generate NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: I was,I was on a camel ride whilst on holiday in Tenerife and the camel behind decided to,I was walking home from school this morning and I saw a dead bug that had been infeste,I was in work and my boss announced she was leaving the company,I was able to complete a project at work in record time with no issues
generate NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: I was,"I was playing a game on my phone, as it was one of the things that I usually",I was walking home from school this morning and I saw a dead squirrel in the road,I was at work and my boss announced she was leaving the company,I was able to complete a task at work in record time with no issues
generate NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: I was,"I was playing Zelda: Breath of the Wild, and I beat the final boss.",I was walking home from school this morning and I heard a noise and felt...,I was at my workplace ,I was able to win a World Cup
generate NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: I was,I was in the university during my educational days because I wasn't able to answer a specific question,I was walking home from school this morning and I saw a dead fox in the trees nearby,I was in the hospital ,I was able to get a job I really wanted 
generate NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: I was,I was at work and a fellow worker was being harassed by a manager for no reason at all,I was walking home from school this morning because I didn't know what was wrong with me.,I was in school and it was one of the first classes I ever used,I was able to complete my first project at work in record time with no issues
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I was,I was told I wasn't getting refunded for a paid vacation.,I was a student at my university and I was asked to come and try my new job. I,I was in school and I witnessed someone sneeze snot onto their page,I was told I was being cheated on
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I was,I was trying to get my broken TV fixed by the supplier,I was a student at my university and I was asked to come and try my hand at coding,I was in a car accident,I was lied to by a friend 
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I was,I was stuck away from home with no ride for over a week longer than planned.,I was a student at my university and I was asked to come to class with my teacher and explain,I was in a car crash,I was lied to by a friend 
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I was,I was on a camel ride whilst on holiday in Tenerife and the camel behind decided to,I was a student at my university and I was asked to come to the university to study and they,I was in the hospital ,I was told I had to take a test 
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I was,"I was playing a game on my phone, as it was one of the things that I usually",I was a student at my university and I was asked to come and try my hand at maths,I was in a domestic violent relationship when I was 16/17,I was lied to by a friend 
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: I was,I was told I wasn't getting refunded for a paid vacation.,I was walking home from school this morning and I saw a dead fox in the trees nearby,I was walking home one night from school ,I was walking home from work 
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: I was,I was trying to get my broken TV fixed by the supplier,I was walking home from school this morning and I heard a noise and felt...,I was walking home from school when I was 10 ,I was robbed in the street
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: I was,I was told I wasn't allowed to see my son,I was walking home from school this morning and I saw a dead bug that had been infeste,I was at work and was confronted with a very aggressive ,I was robbed at gunpoint by a random man
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: I was,I was at work and someone did not care for my patient,I was walking home from school this morning and I saw a dead squirrel in the road,I was driving home from work ,I was walking home from work and I heard someone squeak and looked at the ceiling
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: I was,I was watching a very gruesome and unnecessarily violent/bloody scene on television,I was walking home from school this morning and I heard a loud bang,I was walking through my local town ,I was walking home from work and a stranger approached me
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was at my aunties and she opened a tin of corned beef. As she,When I was on holiday with my family and we sat down enjoying the view while having a,When I was in a panic attack,When I was questioned 
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was on the bus and a man was very unwashed and smelt bad,When I was on holiday with my family because we didn't see each other for a long time,When I was in a earthquake,When I saw a man abusing his wife
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was on a camel ride whilst on holiday in Tenerife and the camel behind decided,When I was on holiday with my family and we sat down enjoying a meal together.,When I was in a panic attack for the first time,When I was questioned 
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I saw my elderly father earlier this week because I do not often have the chance to see,When I was on holiday with my family and we sat down enjoying a picnic in the wood,When I was in a lesson where the teacher was bad,When I saw a man beating his wife in the street
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was at the fair with my friends and I was on a ride that I didn't,When I was on a flight to get to work this morning because I was tired,When I was in a domestic violent relationship when I was 16/17,When I was questioned 
generate Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was bullied as a child and through my teen years.,When I was in a car accident,When I was in a car accident,When I was questioned 
generate Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was at my aunties and she opened a tin of corned beef. As she,When I was on a flight to go see my family. I was... with myself because I,When I was in a car crash,When I was questioned 
generate Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was on the bus and a man was very unwashed and smelt bad,When I was on a flight to get to work this morning because I was tired,When I was in a domestic violent relationship when I was 16/17,When I was questioned 
generate Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was in the university during my educational days because I wasn't able to answer a specific,When I was a kid because I didn't know what was wrong with me.,When I was threatened with a pocket knife at school during one of my classes,When I saw a man abusing his wife
generate Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,"When I was trying my hardest to win a competitive video game, but my team mates weren't",When I was at work and someone knocked on my door at night.,When I was in a lesson where the teacher was bad,When I was questioned 
generate NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was at my aunties and she opened a tin of corned beef. As she,When I was on holiday with my family because I live in a small town and I don't,When I was in a car crash,When I was questioned 
generate NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was bullied as a child and through my teen years.,When I was in a car accident,When I was in a car accident,When I was questioned 
generate NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,"When I was trying my hardest to win a competitive video game, but my team mates weren't",When I was on a flight to go see my family. I was... with myself because I,When I was in a lesson where the teacher was bad,When I was able to get a job I really wanted 
generate NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was on the bus and a man was very unwashed and smelt bad,When I was on holiday with my family and we sat down enjoying the view while having a,When I was in a domestic violent relationship when I was 16/17,When I was a student at my university
generate NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was offered a job that a friend had also applied for and really wanted.,When I was on holiday with my family and we sat down enjoying a picnic in the mountains,When I was at work and wasn't given any service or lectures,When I was unable to get a job I had applied for
generate NoATTE NoRESP Control NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was at my aunties and she opened a tin of corned beef. As she,When I was in a car accident,When I was in a car accident,When I was questioned 
generate NoATTE NoRESP Control NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was on the bus and a man was very unwashed and smelt bad,When I was walking home from school this morning because I didn't know what was wrong with me.,When I was in a car crash,When I was questioned 
generate NoATTE NoRESP Control NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was offered a job that a friend had also applied for and really wanted.,When I was on holiday with my family because I live in a small town and I don't,When I was in a lesson where the teacher was bad,When I was able to get a job I really wanted 
generate NoATTE NoRESP Control NoCIRC NoPLEA NoEFFO NoCERT: When I,"When I was trying my hardest to win a competitive video game, but my team mates weren't",When I was at work and someone knocked on my door at night.,When I was in a domestic violent relationship when I was 16/17,When I was able to get a job I really wanted 
generate NoATTE NoRESP Control NoCIRC NoPLEA NoEFFO NoCERT: When I,When I was bullied as a child and through my teen years.,When I was on a flight to go see my family. I was... with myself because I,When I was at work and wasn't given any service or lectures,When I was unable to get a job I had applied for
generate NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: When I,When I was on the bus and a man was very unwashed and smelt bad,When I was in a car accident,When I was at my workplace ,When I was questioned 
generate NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: When I,"When I had to have my first ultrasound for my chronic abdominal pain because it was a new,",When I was walking home from school this morning because I didn't know what was wrong with me.,When I was in a panic attack,When I was unable to get a job I had applied for
generate NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: When I,When I was on a flight and a black lady and her son were sitting in a 4 se,When I was a kid because I didn't know what was wrong with me.,When I was given the Pfizer vaccine ,When I was unable to get a job I applied for
generate NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: When I,When I was at my aunties and she opened a tin of corned beef. As she,When I was walking home from school this morning because I didn't know if I was going to,When I was in school ,"When I was a kid, I felt"
generate NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: When I,When I was given the Pfizer vaccine because it was insignificant to me.,When I was on a flight with my family because I didn't know what was wrong with me,When I was told I needed to wear a mask to avoid contracting COVID 19,When I was a teenager
generate NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: When I,When I was at my aunties and she opened a tin of corned beef. As she,When I was at work last week because I was working on a project and I didn't have,When I was offered a job that a friend had also applied for ,When I was able to get a job I really wanted 
generate NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: When I,When I was on the bus and a man was very unwashed and smelt bad,When I was on holiday with my family and we sat down enjoying the view while having a,When I was given a puppy for my birthday,When I was able to complete a project at work in record time with no issues
